Porto Alegre;
Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm);
01/01/2000;1200;23,6;71,0;1008,2;3,6;18,0;6,0;;;18,2;2,6;
01/01/2000;1800;25,7;60,0;1007,7;5,0;23,0;7,0;;;;;
02/01/2000;0000;21,0;81,0;1007,8;3,8;9,0;0,0;11,20;27,0;;;
02/01/2000;1200;24,0;57,0;1008,0;3,5;18,0;1,0;;;17,8;0,0;
02/01/2000;1800;26,6;55,0;1007,0;1,0;14,0;7,0;;;;;
03/01/2000;0000;20,5;77,0;1008,0;0,0;0,0;0,0;3,10;24,6;;;
03/01/2000;1200;22,1;64,0;1007,0;4,3;14,0;5,0;;;17,0;0,0;
03/01/2000;1800;24,3;60,0;1003,9;4,1;14,0;10,0;;;;;
04/01/2000;0000;21,4;82,0;1004,0;1,6;18,0;7,0;4,40;27,4;;;
04/01/2000;1200;20,5;92,0;1005,0;0,0;0,0;10,0;;;19,7;0,1;
04/01/2000;1800;25,8;69,0;1001,6;2,0;14,0;6,0;;;;;
05/01/2000;0000;21,8;82,0;1002,0;0,8;18,0;1,0;11,20;31,8;;;
05/01/2000;1200;24,8;74,0;1004,9;0,0;0,0;5,0;;;17,8;0,0;
05/01/2000;1800;30,7;51,0;1001,6;2,0;18,0;3,0;;;;;
06/01/2000;0000;23,8;81,0;1003,8;0,8;14,0;0,0;8,50;31,8;;;
06/01/2000;1200;24,8;81,0;1006,0;1,6;14,0;4,0;;;21,2;0,0;
06/01/2000;1800;30,6;60,0;1005,4;1,3;14,0;8,0;;;;;
07/01/2000;0000;23,6;83,0;1007,4;1,6;14,0;1,0;10,20;31,8;;;
07/01/2000;1200;26,7;70,0;1009,0;2,0;14,0;4,0;;;21,6;0,0;
07/01/2000;1800;30,2;60,0;1006,2;2,0;14,0;7,0;;;;;
08/01/2000;0000;23,4;86,0;1007,4;1,6;18,0;2,0;10,80;34,2;;;
08/01/2000;1200;27,2;72,0;1007,4;1,6;14,0;1,0;;;22,4;0,0;
08/01/2000;1800;33,3;55,0;1004,8;3,6;9,0;7,0;;;;;
09/01/2000;0000;27,6;67,0;1005,1;0,7;9,0;1,0;10,90;35,8;;;
09/01/2000;1200;28,6;61,0;1008,4;3,0;36,0;0,0;;;21,8;0,0;
09/01/2000;1800;34,6;47,0;1004,7;2,3;9,0;5,0;;;;;
10/01/2000;0000;27,2;74,0;1006,3;1,3;14,0;10,0;6,80;32,4;;;
10/01/2000;1200;26,4;82,0;1007,4;0,0;0,0;8,0;;;24,0;0,0;
10/01/2000;1800;31,8;50,0;1004,0;3,3;18,0;4,0;;;;;
11/01/2000;0000;27,6;71,0;1004,3;0,8;9,0;7,0;10,60;35,0;;;
11/01/2000;1200;27,6;70,0;1004,6;2,0;32,0;1,0;;;23,4;0,0;
11/01/2000;1800;34,4;51,0;1001,0;4,0;27,0;2,0;;;;;
12/01/2000;0000;28,0;67,0;1001,7;0,8;14,0;7,0;7,70;32,4;;;
12/01/2000;1200;27,2;71,0;1004,0;1,5;27,0;1,0;;;22,4;0,0;
12/01/2000;1800;30,9;65,0;1001,8;2,0;9,0;8,0;;;;;
13/01/2000;0000;25,4;80,0;1002,0;0,8;14,0;10,0;2,00;32,8;;;
13/01/2000;1200;25,8;89,0;1003,2;0,0;0,0;10,0;;;23,2;1,9;
13/01/2000;1800;30,4;67,0;1001,8;0,7;14,0;9,0;;;;;
14/01/2000;0000;27,6;81,0;1001,9;1,3;14,0;7,0;9,50;33,8;;;
14/01/2000;1200;26,8;79,0;1004,2;0,0;0,0;7,0;;;22,0;0,0;
14/01/2000;1800;33,4;54,0;1000,9;0,8;23,0;10,0;;;;;
15/01/2000;0000;26,0;82,0;1001,7;2,0;14,0;8,0;1,40;31,4;;;
15/01/2000;1200;25,8;83,0;1002,3;0,0;0,0;10,0;;;23,8;0,1;
15/01/2000;1800;31,0;64,0;999,3;0,7;14,0;9,0;;;;;
16/01/2000;0000;25,0;88,0;1000,7;2,1;14,0;5,0;6,70;34,0;;;
